zOrig,zDest,FAF_O,FAF_D,netNodeO,netNodeD,FRA_O,FRA_D,fTons (K)
214,47,380,101,2818,13959,348747,483026,555.947398
134,292,219,511,9709,13251,432001,474019,555.311277
248,147,429,241,13535,13629,477840,478861,553.29237
133,257,219,459,8959,11787,423091,453864,548.205524
181,139,319,223,3673,6546,361539,397786,548.080407
319,314,560,559,2353,7600,341490,410915,547.992236
213,300,380,531,2770,300,347721,307557,546.927947
316,309,560,551,1986,7675,337589,411642,546.56448
317,309,560,551,1986,7675,337589,411642,546.56448
305,189,540,341,11305,14369,448728,487996,545.756042
318,113,560,190,2216,5081,340080,379962,545.457064
282,154,489,261,3109,10449,353672,440834,544.102865
309,213,551,380,7675,2770,411642,347721,542.548078
264,257,479,459,9408,11787,428302,453864,539.078473
249,147,429,241,13549,13629,478104,478861,537.915898
215,309,380,551,3491,7675,358711,411642,537.486252
298,150,519,249,13037,13163,471386,473010,537.325223
159,155,269,261,9334,10506,427423,441355,534.159538
160,155,269,261,10026,10506,436366,441355,534.159538
158,155,269,261,8646,10506,418960,441355,534.159538
213,301,380,532,2770,191,347721,304539,533.005047
226,220,399,393,10155,10452,437809,440877,531.54498
108,71,189,131,8805,9748,420535,432669,528.509896
165,32,291,69,4689,865,375289,319096,528.04531
166,32,291,69,4704,865,375681,319096,528.04531
91,196,171,350,7983,2135,414089,339361,527.977858
253,218,451,392,12364,11504,461299,450746,523.91309
213,91,380,171,2770,7983,347721,414089,521.169535
307,147,540,241,12425,13629,462506,478861,517.84816
158,154,269,261,8646,10449,418960,440834,517.749753
160,154,269,261,10026,10449,436366,440834,517.749753
159,154,269,261,9334,10449,427423,440834,517.749753
97,138,179,223,6947,6300,403496,395671,517.690051
181,26,319,64,3673,342,361539,308387,517.630471
317,17,560,50,1986,5577,337589,385939,517.410626
316,17,560,50,1986,5577,337589,385939,517.410626
155,91,261,171,10506,7983,441355,414089,514.425954
319,115,560,190,2353,5760,341490,388180,512.405398
184,155,329,261,799,10506,316845,441355,511.922865
56,60,123,124,11637,10921,452361,445695,508.204657
97,139,179,223,6947,6546,403496,397786,504.201088
10,9,42,41,1832,1613,335597,332280,502.379044
91,155,171,261,7983,10506,414089,441355,502.174895
136,92,221,172,5918,6491,390084,397178,501.324401
311,229,559,401,6842,3353,402197,357127,500.496344
307,190,540,341,12425,14400,462506,488248,499.295415
154,91,261,171,10449,7983,440834,414089,498.622399
175,311,300,559,1953,6842,337188,402197,497.65885
215,238,380,421,3491,14110,358711,484667,497.374861
177,279,311,489,4065,2693,366354,346798,496.47382
261,2,471,11,6400,8739,396179,419866,496.311502
184,154,329,261,799,10449,316845,440834,496.196208
319,94,560,179,2353,6045,341490,392193,494.929487
4,2,12,11,7596,8739,410839,419866,494.712173
27,20,64,61,435,1012,310556,321736,492.002098
91,300,171,531,7983,300,414089,307557,490.767717
274,136,486,221,4351,5918,370166,390084,490.046477
91,215,171,380,7983,3491,414089,358711,489.228958
169,164,299,280,5137,6887,380766,402884,488.926361
169,163,299,280,5137,6275,380766,395467,488.926361
311,36,559,81,6842,2304,402197,340917,487.73359
91,154,171,261,7983,10449,414089,440834,486.747703
113,91,190,171,5081,7983,379962,414089,486.456738
85,233,160,411,1367,71,327259,301971,486.222467
298,305,519,540,13037,11305,471386,448728,485.44716
83,234,160,411,1325,184,326338,304311,483.789068
5,2,19,11,8901,8739,422118,419866,482.649876
279,91,489,171,2693,7983,346798,414089,479.539201
311,282,559,489,6842,3109,402197,353672,478.892588
181,279,319,489,3673,2693,361539,346798,476.765421
318,118,560,201,2216,4476,340080,372451,471.001816
116,282,190,489,5790,3109,388612,353672,468.235512
307,226,540,399,12425,10155,462506,437809,467.933742
311,216,559,380,6842,3565,402197,359698,464.131083
303,26,539,64,1252,342,325529,308387,463.398301
258,301,460,532,2483,191,344021,304539,462.425113
215,311,380,559,3491,6842,358711,402197,458.806058
318,2,560,11,2216,8739,340080,419866,458.529803
220,211,393,379,10452,13126,440877,472346,457.948487
318,278,560,489,2216,2579,340080,345412,457.923597
318,266,560,482,2216,4873,340080,377794,455.787807
318,267,560,482,2216,4936,340080,378449,455.787807
315,311,560,559,1925,6842,336667,402197,452.183658
315,157,560,262,1925,9293,336667,426819,450.787921
161,85,271,160,5230,1367,381938,327259,449.946136
132,257,219,459,8389,11787,416611,453864,448.332559
203,200,369,363,13794,14568,480932,490541,444.531627
226,155,399,261,10155,10506,437809,441355,444.250919
117,282,190,489,6061,3109,392352,353672,443.935141
265,276,481,487,3221,2897,355232,350299,442.245671
91,305,171,540,7983,11305,414089,448728,441.484861
171,161,300,271,1470,5230,329739,381938,441.00946
305,101,540,181,11305,8884,448728,421868,440.918009
215,299,380,531,3491,237,358711,305935,440.895108
162,20,279,61,5654,1012,386600,321736,439.556179
100,226,181,399,8648,10155,418964,437809,438.730157
300,235,531,419,300,48,307557,301480,438.60025
248,240,429,422,13535,12321,477840,460849,438.214201
162,30,279,69,5654,724,386600,315673,437.391654
231,271,409,484,3036,3800,352861,363320,437.166185
175,300,300,531,1953,300,337188,307557,436.998938
105,81,183,139,9470,11155,428994,447563,436.900425
99,138,179,223,7438,6300,409272,395671,435.847564
85,300,160,531,1367,300,327259,307557,435.511962
282,276,489,487,3109,2897,353672,350299,435.481806
84,234,160,411,1349,184,326802,304311,434.033272
315,113,560,190,1925,5081,336667,379962,433.839571
318,161,560,271,2216,5230,340080,381938,432.739109
319,100,560,181,2353,8648,341490,418964,432.723834
161,276,271,487,5230,2897,381938,350299,432.587111
215,162,380,279,3491,5654,358711,386600,432.033909
318,166,560,291,2216,4704,340080,375681,431.66488
318,165,560,291,2216,4689,340080,375289,431.66488
126,265,209,481,4174,3221,367777,355232,431.408052
226,154,399,261,10155,10449,437809,440834,430.603194
274,193,486,342,4351,13991,370166,483598,429.347157
307,100,540,181,12425,8648,462506,418964,428.894155
120,276,202,487,3383,2897,357396,350299,428.660095
103,263,182,473,9073,9977,424523,435955,428.320593
109,71,189,131,8937,9748,422911,432669,427.751781
311,91,559,171,6842,7983,402197,414089,426.854639
249,240,429,422,13549,12321,478104,460849,426.035851
214,136,380,221,2818,5918,348747,390084,425.425901
161,115,271,190,5230,5760,381938,388180,425.205927
99,139,179,223,7438,6546,409272,397786,424.491094
5,56,19,123,8901,11637,422118,452361,423.849169
319,156,560,262,2353,9081,341490,424609,422.775786
220,150,393,249,10452,13163,440877,473010,422.594529
279,20,489,61,2693,1012,346798,321736,420.777249
118,208,201,373,4476,12931,372451,469919,419.218596
212,303,380,539,2420,1252,342898,325529,417.221071
85,235,160,419,1367,48,327259,301480,414.575113
311,213,559,380,6842,2770,402197,347721,414.402753
319,14,560,50,2353,4812,341490,377024,414.19915
96,138,179,223,6723,6300,400579,395671,410.180985
270,155,484,261,3703,10506,361928,441355,409.203294
304,240,540,422,11278,12321,448492,460849,408.986046
245,294,429,512,12879,13694,469255,479838,407.695111
200,199,363,362,14568,12847,490541,468821,407.512383
137,113,222,190,5190,5081,381551,379962,407.332178
11,10,49,42,1467,1832,329710,335597,406.851651
115,276,190,487,5760,2897,388180,350299,406.473145
313,215,559,380,7321,3491,408111,358711,405.939633
141,163,229,280,5644,6275,386552,395467,405.464943
141,164,229,280,5644,6887,386552,402884,405.464943
287,27,499,64,1503,435,330452,310556,404.391797
268,273,483,486,3282,4124,356173,367103,403.665292
306,192,540,341,11539,14507,451117,489881,400.503176
216,47,380,101,3565,13959,359698,483026,400.109572
150,305,249,540,13163,11305,473010,448728,400.074673
96,139,179,223,6723,6546,400579,397786,399.493285
137,181,222,319,5190,3673,381551,361539,398.634429
307,191,540,341,12425,14444,462506,489091,398.404493
276,157,487,262,2897,9293,350299,426819,397.348625
95,138,179,223,6716,6300,400440,395671,397.347696
318,97,560,179,2216,6947,340080,403496,397.01191
270,154,484,261,3703,10449,361928,440834,396.632259
316,311,560,559,1986,6842,337589,402197,396.158194
317,311,560,559,1986,6842,337589,402197,396.158194
316,157,560,262,1986,9293,337589,426819,394.93539
317,157,560,262,1986,9293,337589,426819,394.93539
45,43,92,91,14740,14758,492243,492422,394.086656
271,276,484,487,3800,2897,363320,350299,393.804953
81,51,139,121,11155,11545,447563,451169,393.239834
238,203,421,369,14110,13794,484667,480932,392.82596
318,15,560,50,2216,4870,340080,377775,392.585877
200,226,363,399,14568,10155,490541,437809,392.010047
133,264,219,479,8959,9408,423091,428302,390.635867
157,158,262,269,9293,8646,426819,418960,390.524343
157,160,262,269,9293,10026,426819,436366,390.524343
157,159,262,269,9293,9334,426819,427423,390.524343
215,274,380,486,3491,4351,358711,370166,387.402558
95,139,179,223,6716,6546,400440,397786,386.99438
318,230,560,402,2216,4008,340080,365635,386.733266
171,311,300,559,1470,6842,329739,402197,386.605717
319,155,560,261,2353,10506,341490,441355,385.410807
212,161,380,271,2420,5230,342898,381938,385.006133
311,276,559,487,6842,2897,402197,350299,384.753614
105,76,183,139,9470,9533,428994,429596,383.02045
125,268,209,483,3257,3282,355859,356173,382.720101
319,313,560,559,2353,7321,341490,408111,382.268777
91,278,171,489,7983,2579,414089,345412,381.486987
317,113,560,190,1986,5081,337589,379962,380.086937
316,113,560,190,1986,5081,337589,379962,380.086937
155,158,261,269,10506,8646,441355,418960,378.459515
155,159,261,269,10506,9334,441355,427423,378.459515
155,160,261,269,10506,10026,441355,436366,378.459515
252,91,441,171,14888,7983,494262,414089,377.903441
278,274,489,486,2579,4351,345412,370166,377.760771
307,294,540,512,12425,13694,462506,479838,377.455021
138,218,223,392,6300,11504,395671,450746,376.641536
252,187,441,331,14888,14971,494262,495207,374.795855
155,276,261,487,10506,2897,441355,350299,374.767121
315,118,560,201,1925,4476,336667,372451,374.620185
40,288,89,499,2260,1829,340498,335586,374.289982
319,154,560,261,2353,10449,341490,440834,373.570695
303,234,539,411,1252,184,325529,304311,373.246136
218,225,392,399,11504,10115,450746,437419,373.022482
314,218,559,392,7600,11504,410915,450746,372.971991
319,116,560,190,2353,5790,341490,388612,372.894796
262,276,472,487,8902,2897,422132,350299,372.837903
253,217,451,391,12364,9692,461299,431812,372.783378
162,279,279,489,5654,2693,386600,346798,372.425275
124,268,209,483,3161,3282,354335,356173,372.304441
319,300,560,531,2353,300,341490,307557,372.237154
113,278,190,489,5081,2579,379962,345412,372.100359
17,282,50,489,5577,3109,385939,353672,371.354816
12,10,49,42,1591,1832,332121,335597,370.749103
277,276,488,487,2982,2897,351899,350299,370.198643
137,136,222,221,5190,5918,381551,390084,370.063838
274,91,486,171,4351,7983,370166,414089,369.734768
212,300,380,531,2420,300,342898,307557,367.783246
154,160,261,269,10449,10026,440834,436366,366.832952
154,158,261,269,10449,8646,440834,418960,366.832952
154,159,261,269,10449,9334,440834,427423,366.832952
139,218,223,392,6546,11504,397786,450746,366.827742
98,138,179,223,6996,6300,404080,395671,366.354091
169,92,299,172,5137,6491,380766,397178,365.025725
10,91,42,171,1832,7983,335597,414089,364.906513
309,212,551,380,7675,2420,411642,342898,364.83799
315,2,560,11,1925,8739,336667,419866,364.700334
315,278,560,489,1925,2579,336667,345412,364.218176
114,282,190,489,5531,3109,385332,353672,364.142877
154,276,261,487,10449,2897,440834,350299,363.253991
315,267,560,482,1925,4936,336667,378449,362.519435
315,266,560,482,1925,4873,336667,377794,362.519435
319,137,560,222,2353,5190,341490,381551,362.165637
165,30,291,69,4689,724,375289,315673,360.151034
166,30,291,69,4704,724,375681,315673,360.151034
274,272,486,485,4351,2097,370166,338965,358.829434
212,301,380,532,2420,191,342898,304539,358.420753
160,210,269,379,10026,12797,436366,468246,357.950698
158,210,269,379,8646,12797,418960,468246,357.950698
159,210,269,379,9334,12797,427423,468246,357.950698
181,97,319,179,3673,6947,361539,403496,357.710164
213,47,380,101,2770,13959,347721,483026,357.24069
319,142,560,229,2353,5681,341490,386981,356.893499
98,139,179,223,6996,6546,404080,397786,356.808347
319,18,560,50,2353,6039,341490,392121,356.641133
309,276,551,487,7675,2897,411642,350299,356.54517
46,45,99,92,14835,14740,493235,492243,355.816698
51,60,121,124,11545,10921,451169,445695,355.616453
5,133,19,219,8901,8959,422118,423091,355.545305
319,117,560,190,2353,6061,341490,392352,353.542394
267,274,482,486,4936,4351,378449,370166,353.51171
266,274,482,486,4873,4351,377794,370166,353.51171
87,234,160,411,1717,184,333324,304311,350.794014
212,91,380,171,2420,7983,342898,414089,350.461929
32,263,69,473,865,9977,319096,435955,350.146895
47,48,101,109,13959,13994,483026,483633,350.140196
265,279,481,489,3221,2693,355232,346798,350.100717
103,210,182,379,9073,12797,424523,468246,348.993117
161,319,271,560,5230,2353,381938,341490,348.64272
234,236,411,419,184,656,304311,314420,348.177781
181,32,319,69,3673,865,361539,319096,347.588203
301,300,532,531,191,300,304539,307557,347.199863
