year,MyLkID,tnc_AB (k),tnc_BA (k),tnc_TOT (k),TMc_e (M)
2025,318,0.0,0.0,0.0,0.0
2025,319,0.0,0.0,0.0,0.0
2025,320,0.0,0.0,0.0,0.0
2025,321,0.0,0.0,0.0,0.0
2025,322,0.0,0.0,0.0,0.0
2025,323,0.0,0.0,0.0,0.0
2025,324,0.0,0.0,0.0,0.0
2025,325,63.549,50.539,114.088,0.26457622380444307
2025,326,2639.623,5547.025,8186.647999999999,17.59056353714482
2025,327,1773.224,559.548,2332.772,25.901962149677328
2025,328,0.0,0.0,0.0,0.0
2025,329,0.0,7.082,7.082,0.01261309753604856
2025,330,63.549,50.539,114.088,0.2295020291653086
2025,331,1890.755,78.775,1969.5300000000002,3.7630096192563585
2025,332,752.129,1348.068,2100.197,13.854551128791643
2025,333,2.627,3.541,6.167999999999999,0.007701426378383415
2025,334,0.0,0.0,0.0,0.0
2025,335,1058.312,968.731,2027.043,20.781490847457093
2025,336,1080.678,520.05,1600.728,8.40797307141952
2025,337,0.0,17.705,17.705,0.05900382940983539
2025,338,0.0,0.0,0.0,0.0
2025,339,882.952,587.285,1470.237,19.85587562640368
2025,340,0.0,0.0,0.0,0.0
2025,341,0.0,0.0,0.0,0.0
2025,342,2105.691,0.0,2105.691,13.746292576979569
2025,343,0.0,0.0,0.0,0.0
2025,344,511.486,485.552,997.038,1.212275932233498
2025,345,0.0,0.0,0.0,0.0
2025,346,974.496,6.716,981.212,50.85885716879787
2025,347,1657.428,6.485,1663.913,0.5205605023655805
2025,348,1464.082,795.537,2259.619,18.823451988242837
2025,349,0.0,0.0,0.0,0.0
2025,350,7.082,5.253,12.335,0.02444021057882958
2025,351,269.298,2887.884,3157.182,7.3816217153608985
2025,352,397.173,90.604,487.777,0.5915705251164486
2025,353,0.0,0.0,0.0,0.0
2025,354,0.0,0.0,0.0,0.0
2025,355,0.0,0.0,0.0,0.0
2025,356,0.0,0.0,0.0,0.0
2025,357,0.0,0.0,0.0,0.0
2025,358,361.579,0.0,361.579,4.481671468317522
2025,359,0.0,0.0,0.0,0.0
2025,360,90.344,1065.952,1156.296,3.4571145431151886
2025,361,1409.587,0.0,1409.587,0.6571516964607877
2025,362,0.0,0.0,0.0,0.0
2025,363,15.764,1301.463,1317.2269999999999,1.444933976357436
2025,364,97.575,1054.982,1152.557,25.457379544629557
2025,365,1065.952,90.344,1156.296,9.438181107051156
2025,366,97.575,1054.982,1152.557,2.2149480924886924
2025,367,23.729,60.403,84.132,0.7835209344354431
2025,368,0.0,0.0,0.0,0.0
2025,369,0.0,0.0,0.0,0.0
2025,370,0.0,0.0,0.0,0.0
2025,371,2.627,0.0,2.627,0.00044728383228614027
2025,372,0.0,0.0,0.0,0.0
2025,373,97.575,1054.982,1152.557,4.286148260255122
2025,374,0.0,0.0,0.0,0.0
2025,375,0.0,0.0,0.0,0.0
2025,376,0.0,0.0,0.0,0.0
2025,377,4610.029,3979.426,8589.455,88.4134209528211
2025,378,0.0,0.0,0.0,0.0
2025,379,60.229,710.634,770.863,0.8271177109744099
2025,380,1019.516,1895.398,2914.9139999999998,0.8977914447361236
2025,381,0.0,0.0,0.0,0.0
2025,382,0.0,0.0,0.0,0.0
2025,383,0.0,0.0,0.0,0.0
2025,384,0.0,0.0,0.0,0.0
2025,385,0.0,0.0,0.0,0.0
2025,386,4199.873,4695.728,8895.600999999999,11.845838526672706
2025,387,1321.151,2121.916,3443.067,1.5649805197628346
2025,388,0.0,0.0,0.0,0.0
2025,389,0.0,0.0,0.0,0.0
2025,390,0.0,0.0,0.0,0.0
2025,391,0.0,0.0,0.0,0.0
2025,392,0.0,0.0,0.0,0.0
2025,393,0.0,0.0,0.0,0.0
2025,394,0.0,0.0,0.0,0.0
2025,395,0.0,0.0,0.0,0.0
2025,396,14.209,337.506,351.715,0.7115959457082703
2025,397,0.0,0.0,0.0,0.0
2025,398,6.485,1657.428,1663.913,0.5813929384839802
2025,399,0.0,600.544,600.544,0.05318906141208957
2025,400,0.0,0.0,0.0,0.0
2025,401,3969.927,2302.993,6272.92,6.763219991282897
2025,402,0.0,0.0,0.0,0.0
2025,403,0.0,0.0,0.0,0.0
2025,404,0.0,0.0,0.0,0.0
2025,405,0.0,0.0,0.0,0.0
2025,406,0.0,0.0,0.0,0.0
2025,407,0.0,0.0,0.0,0.0
2025,408,0.0,0.0,0.0,0.0
2025,409,0.0,0.0,0.0,0.0
2025,410,0.0,0.0,0.0,0.0
2025,411,0.0,0.0,0.0,0.0
2025,412,0.0,0.0,0.0,0.0
2025,413,0.0,0.0,0.0,0.0
2025,414,0.0,0.0,0.0,0.0
2025,415,0.0,0.0,0.0,0.0
2025,416,0.0,0.0,0.0,0.0
2025,417,0.0,0.0,0.0,0.0
2025,418,0.0,0.0,0.0,0.0
2025,419,0.0,0.0,0.0,0.0
2025,420,1761.305,438.789,2200.094,2.430150637349643
2025,421,0.0,0.0,0.0,0.0
2025,422,0.0,0.0,0.0,0.0
2025,423,0.0,0.0,0.0,0.0
2025,424,0.0,0.0,0.0,0.0
2025,425,2170.473,1170.333,3340.806,1.4165794439661201
2025,426,0.0,0.0,0.0,0.0
