,freight_demand_scenario,year,energy_system_scenario,region,technology,upstream_CO2_emission_factor,CO2_emission_factor_unit
3649,agricultual_production_shift,2035,business_as_usual,south_east,hydrogen,6.047388664142696,kg_of_CO2/kg_of_H2
3650,agricultual_production_shift,2035,business_as_usual,south_west,electricity,0.1937910658480479,kg of CO2/kWh of electricity
3651,agricultual_production_shift,2035,business_as_usual,south_west,hydrogen,6.048110220443998,kg_of_CO2/kg_of_H2
3652,agricultual_production_shift,2035,business_as_usual,texas,electricity,0.1062973168481257,kg of CO2/kWh of electricity
3653,agricultual_production_shift,2035,business_as_usual,texas,hydrogen,6.047456445039925,kg_of_CO2/kg_of_H2
3942,agricultual_production_shift,2040,net_zero_2050,california,electricity,0.0006500199283057,kg of CO2/kWh of electricity
3943,agricultual_production_shift,2040,net_zero_2050,california,hydrogen,-12.008634447200311,kg_of_CO2/kg_of_H2
3944,agricultual_production_shift,2040,net_zero_2050,central,electricity,1.4009983321311004e-09,kg of CO2/kWh of electricity
3945,agricultual_production_shift,2040,net_zero_2050,central,hydrogen,-12.00863803621521,kg_of_CO2/kg_of_H2
3946,agricultual_production_shift,2040,net_zero_2050,middle_atlantic,electricity,0.0043605630776248,kg of CO2/kWh of electricity
3947,agricultual_production_shift,2040,net_zero_2050,middle_atlantic,hydrogen,-12.008565273247928,kg_of_CO2/kg_of_H2
3948,agricultual_production_shift,2040,net_zero_2050,north_east,electricity,0.0162176949221589,kg of CO2/kWh of electricity
3949,agricultual_production_shift,2040,net_zero_2050,north_east,hydrogen,-12.008571948710427,kg_of_CO2/kg_of_H2
3950,agricultual_production_shift,2040,net_zero_2050,north_west,electricity,1.6750915633755565e-08,kg of CO2/kWh of electricity
3951,agricultual_production_shift,2040,net_zero_2050,north_west,hydrogen,-12.008635620540444,kg_of_CO2/kg_of_H2
3952,agricultual_production_shift,2040,net_zero_2050,north_central,electricity,4.063289579293629e-09,kg of CO2/kWh of electricity
3953,agricultual_production_shift,2040,net_zero_2050,north_central,hydrogen,-12.00863884410752,kg_of_CO2/kg_of_H2
3954,agricultual_production_shift,2040,net_zero_2050,south_east,electricity,0.0083905392769121,kg of CO2/kWh of electricity
3955,agricultual_production_shift,2040,net_zero_2050,south_east,hydrogen,-12.008639078812466,kg_of_CO2/kg_of_H2
3956,agricultual_production_shift,2040,net_zero_2050,south_west,electricity,1.5076364178698642e-08,kg of CO2/kWh of electricity
3957,agricultual_production_shift,2040,net_zero_2050,south_west,hydrogen,-12.008635521665276,kg_of_CO2/kg_of_H2
3958,agricultual_production_shift,2040,net_zero_2050,texas,electricity,4.250857669900584e-09,kg of CO2/kWh of electricity
3959,agricultual_production_shift,2040,net_zero_2050,texas,hydrogen,-12.008636395948034,kg_of_CO2/kg_of_H2
4266,agricultual_production_shift,2040,50%_reduction_2050,california,electricity,0.0029641383957777,kg of CO2/kWh of electricity
4267,agricultual_production_shift,2040,50%_reduction_2050,california,hydrogen,-12.00863938126142,kg_of_CO2/kg_of_H2
4268,agricultual_production_shift,2040,50%_reduction_2050,central,electricity,0.0344564451449596,kg of CO2/kWh of electricity
4269,agricultual_production_shift,2040,50%_reduction_2050,central,hydrogen,6.022846331747799,kg_of_CO2/kg_of_H2
4270,agricultual_production_shift,2040,50%_reduction_2050,middle_atlantic,electricity,0.1650215150826998,kg of CO2/kWh of electricity
4271,agricultual_production_shift,2040,50%_reduction_2050,middle_atlantic,hydrogen,6.031201562769232,kg_of_CO2/kg_of_H2
4272,agricultual_production_shift,2040,50%_reduction_2050,north_east,electricity,0.0508521736346276,kg of CO2/kWh of electricity
4273,agricultual_production_shift,2040,50%_reduction_2050,north_east,hydrogen,6.027452243452835,kg_of_CO2/kg_of_H2
4274,agricultual_production_shift,2040,50%_reduction_2050,north_west,electricity,0.0574941522676416,kg of CO2/kWh of electricity
4275,agricultual_production_shift,2040,50%_reduction_2050,north_west,hydrogen,6.019084381013231,kg_of_CO2/kg_of_H2
4276,agricultual_production_shift,2040,50%_reduction_2050,north_central,electricity,0.0389381587914261,kg of CO2/kWh of electricity
4277,agricultual_production_shift,2040,50%_reduction_2050,north_central,hydrogen,6.026533215404924,kg_of_CO2/kg_of_H2
4278,agricultual_production_shift,2040,50%_reduction_2050,south_east,electricity,0.1564672278834236,kg of CO2/kWh of electricity
4279,agricultual_production_shift,2040,50%_reduction_2050,south_east,hydrogen,6.028975287239208,kg_of_CO2/kg_of_H2
4280,agricultual_production_shift,2040,50%_reduction_2050,south_west,electricity,0.0374973980934446,kg of CO2/kWh of electricity
4281,agricultual_production_shift,2040,50%_reduction_2050,south_west,hydrogen,6.03394032849622,kg_of_CO2/kg_of_H2
4282,agricultual_production_shift,2040,50%_reduction_2050,texas,electricity,0.0452713803277331,kg of CO2/kWh of electricity
4283,agricultual_production_shift,2040,50%_reduction_2050,texas,hydrogen,6.026465543202852,kg_of_CO2/kg_of_H2
4608,agricultual_production_shift,2040,business_as_usual,california,electricity,0.0086555188572459,kg of CO2/kWh of electricity
4609,agricultual_production_shift,2040,business_as_usual,california,hydrogen,-12.008639765390663,kg_of_CO2/kg_of_H2
4610,agricultual_production_shift,2040,business_as_usual,central,electricity,0.163384983865501,kg of CO2/kWh of electricity
4611,agricultual_production_shift,2040,business_as_usual,central,hydrogen,6.042150958748434,kg_of_CO2/kg_of_H2
4612,agricultual_production_shift,2040,business_as_usual,middle_atlantic,electricity,0.2191971314886795,kg of CO2/kWh of electricity
4613,agricultual_production_shift,2040,business_as_usual,middle_atlantic,hydrogen,6.0443175866842935,kg_of_CO2/kg_of_H2
4614,agricultual_production_shift,2040,business_as_usual,north_east,electricity,0.054745475307533,kg of CO2/kWh of electricity
4615,agricultual_production_shift,2040,business_as_usual,north_east,hydrogen,6.0412594956829775,kg_of_CO2/kg_of_H2
4616,agricultual_production_shift,2040,business_as_usual,north_west,electricity,0.2647114570256532,kg of CO2/kWh of electricity
4617,agricultual_production_shift,2040,business_as_usual,north_west,hydrogen,6.044098913607681,kg_of_CO2/kg_of_H2
4618,agricultual_production_shift,2040,business_as_usual,north_central,electricity,0.2978714912785103,kg of CO2/kWh of electricity
4619,agricultual_production_shift,2040,business_as_usual,north_central,hydrogen,6.0438000265993725,kg_of_CO2/kg_of_H2
4620,agricultual_production_shift,2040,business_as_usual,south_east,electricity,0.2333062467661441,kg of CO2/kWh of electricity
4621,agricultual_production_shift,2040,business_as_usual,south_east,hydrogen,6.044466421728746,kg_of_CO2/kg_of_H2
4622,agricultual_production_shift,2040,business_as_usual,south_west,electricity,0.1726290746577004,kg of CO2/kWh of electricity
4623,agricultual_production_shift,2040,business_as_usual,south_west,hydrogen,6.0475152127961405,kg_of_CO2/kg_of_H2
4624,agricultual_production_shift,2040,business_as_usual,texas,electricity,0.1016642957740465,kg of CO2/kWh of electricity
4625,agricultual_production_shift,2040,business_as_usual,texas,hydrogen,6.041767281281015,kg_of_CO2/kg_of_H2
4914,agricultual_production_shift,2045,net_zero_2050,california,electricity,5.5331118600134674e-08,kg of CO2/kWh of electricity
4915,agricultual_production_shift,2045,net_zero_2050,california,hydrogen,-5.120559324528697,kg_of_CO2/kg_of_H2
4916,agricultual_production_shift,2045,net_zero_2050,central,electricity,3.938868227832344e-09,kg of CO2/kWh of electricity
4917,agricultual_production_shift,2045,net_zero_2050,central,hydrogen,-12.008634366042015,kg_of_CO2/kg_of_H2
4918,agricultual_production_shift,2045,net_zero_2050,middle_atlantic,electricity,1.6288352381118653e-08,kg of CO2/kWh of electricity
4919,agricultual_production_shift,2045,net_zero_2050,middle_atlantic,hydrogen,-12.008374566504708,kg_of_CO2/kg_of_H2
4920,agricultual_production_shift,2045,net_zero_2050,north_east,electricity,2.7217197644189545e-08,kg of CO2/kWh of electricity
4921,agricultual_production_shift,2045,net_zero_2050,north_east,hydrogen,-12.008346246492186,kg_of_CO2/kg_of_H2
4922,agricultual_production_shift,2045,net_zero_2050,north_west,electricity,1.3279387382605714e-08,kg of CO2/kWh of electricity
4923,agricultual_production_shift,2045,net_zero_2050,north_west,hydrogen,-12.008621567638873,kg_of_CO2/kg_of_H2
4924,agricultual_production_shift,2045,net_zero_2050,north_central,electricity,-3.1713614595547265e-10,kg of CO2/kWh of electricity
4925,agricultual_production_shift,2045,net_zero_2050,north_central,hydrogen,-12.00863583568532,kg_of_CO2/kg_of_H2
4926,agricultual_production_shift,2045,net_zero_2050,south_east,electricity,0.0005973828715486,kg of CO2/kWh of electricity
4927,agricultual_production_shift,2045,net_zero_2050,south_east,hydrogen,-12.008636011878076,kg_of_CO2/kg_of_H2
4928,agricultual_production_shift,2045,net_zero_2050,south_west,electricity,1.1061969451057391e-08,kg of CO2/kWh of electricity
4929,agricultual_production_shift,2045,net_zero_2050,south_west,hydrogen,-12.008596415371606,kg_of_CO2/kg_of_H2
