year,yNum,Yard,nLinks,State,OneNode,Lon,Lat,Region,SimTM (M),RTM (M),GTM (M),Die (MGal),BioDie (MGal),Cat (GWh),Hyd (MkgH2),Bat (GWh),Hyd (GWh),HydMWh/Day,BatMWh/Day,Die at_the_well (GJ),BioDie at_the_well (GJ),Cat at_the_well (GJ),Hyd at_the_well (GJ),Bat at_the_well (GJ)
2025,650,SHIRE OAKS,2,PA,461789,-79.955333,40.241871,MID_AT,8.82439969769842,13.033810958386704,16.943954245902717,0.016756669057132547,0.0,0.030984040683868147,0.004317254432294892,0.024107210081269224,0.14376457259541994,0.3938755413573149,0.06604715090758691,0.0,0.0,0.0,0.0,0.0
2025,651,SHIREMANSTOWN,1,PA,476310,-76.96816,40.222253,MID_AT,8.813804482097385,13.018161617702006,16.92361010301261,0.016736549782451256,0.0,0.030946838992820268,0.004312070822861763,0.02407826521282485,0.1435919584012967,0.3934026257569773,0.06596784989815027,0.0,0.0,0.0,0.0,0.0
2025,666,SOUTH JOHNSONBURG,1,PA,469686,-78.671812,41.476636,MID_AT,84.63964010052702,125.01440397627121,162.5187251691526,0.1607223705709128,0.0,0.2971848672070783,0.04140914667171652,0.23122542665860973,1.37892458416816,3.7778755730634526,0.6334943196126294,0.0,0.0,0.0,0.0,0.0
2025,695,"Taylor, PA",3,PA,481913,-75.783535,41.343879,MID_AT,80.25113155287359,118.53249101234488,154.09223831604834,0.15238902349840816,0.0,0.28177603124768025,0.03926211020152326,0.21923654343414287,1.3074282697107247,3.5819952594814373,0.6006480642031312,0.0,0.0,0.0,0.0,0.0
2025,707,THOMSON WORKS,1,PA,464193,-79.837733,40.392227,MID_AT,133.98935476818136,197.90489781873546,257.2763671643561,0.25443263586697423,0.0,0.47046051420646506,0.06555302973233852,0.36604297569303634,2.182915890086873,5.980591479690062,1.0028574676521544,0.0,0.0,0.0,0.0,0.0
2025,724,TYBURN YARD,1,PA,485942,-74.768518,40.191897,MID_AT,134.4148021435535,198.53329191389284,258.0932794880607,0.2552405186821867,0.0,0.4719543357964837,0.06576117585331633,0.36720524730447485,2.1898471559154338,5.99958124908338,1.0060417734369174,0.0,0.0,0.0,0.0,0.0
2025,749,WEST BROWNSVILLE,4,PA,462893,-79.893408,40.03162,MID_AT,134.46643009702922,198.60954741101708,258.1924116343222,0.25533855509940784,0.0,0.4721356107461364,0.06578643434325433,0.3673462887308768,2.1906882636303697,6.0018856537818355,1.0064281883037722,0.0,0.0,0.0,0.0,0.0
2025,32,AMORY,1,MS,407672,-88.482646,33.974747,SE,133.7768844310204,197.59107497483788,256.86839746728924,0.24764058841245754,0.0,0.43991510373606124,0.068150753310428,0.3588635582414771,2.269420085237253,6.21758927462261,0.9831878307985674,0.0,0.0,0.0,0.0,0.0
2025,42,ARTESIA,2,MS,406424,-88.643926,33.404118,SE,76.88211789072741,113.55639193558974,147.62330951626666,0.14232005023762417,0.0,0.25282099378526735,0.03916651424974617,0.20624034196007562,1.3042449245165475,3.5732737657987603,0.5650420327673304,0.0,0.0,0.0,0.0,0.0
2025,70,BAYOU CASSOTTE,1,MS,407269,-88.52524,30.378579,SE,96.09050166706078,141.92755048841116,184.50581563493452,0.17787757933583132,0.0,0.31598630203345646,0.04895195535790652,0.25776784597813496,1.6301001134182875,4.466027707995308,0.7062132766524246,0.0,0.0,0.0,0.0,0.0
